%!I(MISSING)D	X	Y	Z	SNR
280	-253.740077	-42.196633	1.100000	1.96
281	-124.176368	156.534280	1.100000	6.78
282	125.901184	22.239008	1.100000	14.22
283	191.729238	-123.946994	1.100000	4.45
284	75.855724	-160.378795	1.100000	8.86
285	18.128594	-126.769661	1.100000	14.20
286	151.523482	83.195501	1.100000	9.34
287	43.774258	143.407957	1.100000	11.68
288	31.353694	24.570139	1.100000	29.68
289	236.056533	-61.704522	1.100000	3.09
290	-173.329575	-146.177358	1.100000	4.54
291	-40.491532	-175.153543	1.100000	8.66
292	117.544031	52.750309	1.100000	14.10
293	173.470722	210.374816	1.100000	0.73
294	-86.526929	104.649620	1.100000	13.27
295	155.158736	-68.796059	1.100000	9.64
296	81.466966	247.957870	1.100000	1.69
297	231.057294	79.218202	1.100000	3.12
298	-145.962196	74.602469	1.100000	10.22
299	-140.439611	252.147610	1.100000	-0.68
300	-17.944678	18.406441	1.100000	33.40
301	277.114652	-102.593940	1.100000	-0.69
302	-140.429765	30.599931	1.100000	12.36
303	42.192047	218.454090	1.100000	4.88
304	-45.985052	248.467828	1.100000	2.47
305	-187.905059	36.543187	1.100000	7.55
306	-8.105349	171.208242	1.100000	9.48
307	291.465956	114.598043	1.100000	-1.89
308	-13.756974	82.378393	1.100000	20.55
309	-175.442432	-65.496358	1.100000	7.96
310	39.462011	-285.351507	1.100000	-0.11
311	9.666014	-213.817529	1.100000	5.62
312	-187.169485	-170.107107	1.100000	2.43
313	-147.275976	-202.481981	1.100000	2.47
314	37.615550	249.077960	1.100000	2.56
315	-83.971434	188.405895	1.100000	6.20
316	247.773052	-110.956330	1.100000	1.13
317	82.606281	-178.365084	1.100000	7.07
318	194.813594	196.289497	1.100000	0.55
319	105.801313	-242.384868	1.100000	1.33
320	252.374441	146.156697	1.100000	-0.25
321	250.467145	-38.414802	1.100000	2.26
322	-18.809828	-330.290444	1.100000	-2.88
323	-200.337553	-198.337846	1.100000	0.16
324	203.836132	-189.335541	1.100000	0.49
325	165.373884	-238.140500	1.100000	-0.74
326	263.217804	-165.390092	1.100000	-1.56
327	260.362691	-69.768124	1.100000	1.09
328	-110.672830	-153.468195	1.100000	7.75
329	138.130450	-56.815960	1.100000	11.75
330	211.075122	202.453972	1.100000	-0.61
331	27.274422	-271.534481	1.100000	1.02
332	-269.699325	-123.094233	1.100000	-0.64
333	129.974882	-42.836185	1.100000	13.15
334	177.319023	241.783738	1.100000	-1.51
335	74.072238	-138.493320	1.100000	10.91
336	8.981224	-314.529849	1.100000	-1.81
337	156.277620	45.927247	1.100000	10.32
338	-81.337035	269.200170	1.100000	0.15
339	-35.087716	-203.400940	1.100000	6.25
340	-71.994021	-82.545473	1.100000	16.59
341	139.699574	-152.385616	1.100000	6.19
342	289.358241	-164.161917	1.100000	-2.96
343	-34.141958	82.578958	1.100000	19.59
344	-155.022998	62.648179	1.100000	9.89
345	76.255016	248.222950	1.100000	1.82
346	200.924849	37.974769	1.100000	6.38
347	-111.440951	-241.174476	1.100000	1.22
348	-169.608781	91.601698	1.100000	7.47
349	-60.245753	294.156612	1.100000	-1.10
350	-199.932079	78.893306	1.100000	5.53
351	-204.843009	-38.420334	1.100000	6.03
352	-221.245695	-60.409399	1.100000	4.29
353	115.777719	111.744390	1.100000	10.52
354	205.586309	126.462449	1.100000	3.42
355	8.544673	94.583754	1.100000	18.71
356	152.805586	-164.102210	1.100000	4.69
357	-88.876128	-211.325085	1.100000	4.23
358	-251.756945	92.816591	1.100000	1.30
359	-77.699465	239.495347	1.100000	2.43
360	-0.763543	14.197432	1.100000	36.21
361	86.766916	-173.225433	1.100000	7.32
362	-83.910871	209.913154	1.100000	4.50
363	-279.876383	51.203467	1.100000	-0.19
364	28.517022	-113.305878	1.100000	15.61
365	121.465311	-242.047950	1.100000	0.79
366	185.128920	-72.756779	1.100000	6.91
367	36.656411	-230.044970	1.100000	4.04
368	-59.771065	161.982553	1.100000	9.33
369	-7.817351	315.745872	1.100000	-1.88
370	83.918073	-8.347981	1.100000	20.42
371	81.670556	-238.361556	1.100000	2.40
372	65.003784	-186.112295	1.100000	7.03
373	-118.298060	195.345184	1.100000	4.28
374	239.274580	-30.234481	1.100000	3.24
375	-161.564562	-226.090178	1.100000	0.24
376	78.026771	-156.662716	1.100000	9.09
377	73.964724	-151.444050	1.100000	9.73
378	-33.971723	-299.820817	1.100000	-1.03
379	-22.274508	-152.920505	1.100000	11.19
380	87.906847	274.143447	1.100000	-0.40
381	0.731370	-115.539753	1.100000	15.78
382	-266.555325	-5.917023	1.100000	1.12
383	211.285296	168.094380	1.100000	1.19
384	-26.891023	40.732319	1.100000	27.48
385	146.063415	-247.053294	1.100000	-0.54
386	276.643072	-43.133365	1.100000	0.13
387	-246.939745	-9.654080	1.100000	2.72
388	18.052830	-295.767431	1.100000	-0.60
389	-94.372992	-24.900125	1.100000	18.31
390	167.376057	-112.730562	1.100000	6.67
391	269.923996	-6.015409	1.100000	0.84
392	-39.067243	-71.583266	1.100000	20.89
393	168.318911	122.300692	1.100000	6.12
394	278.704517	-51.729483	1.100000	-0.10
395	43.350085	187.475461	1.100000	7.48
396	-13.084833	195.280147	1.100000	7.21
397	-57.688495	-94.859180	1.100000	16.39
398	239.324952	-102.389962	1.100000	1.94
399	238.120991	-170.176588	1.100000	-0.38
400	-89.895253	189.572681	1.100000	5.89
401	-211.468141	57.515265	1.100000	5.13
402	68.092566	154.657414	1.100000	9.69
403	-108.888884	-100.987146	1.100000	11.84
404	59.842984	-129.997494	1.100000	12.43
405	255.968884	63.496343	1.100000	1.52
406	256.770466	166.055382	1.100000	-1.23
407	-73.311191	-298.969980	1.100000	-1.74
408	-271.656340	87.798523	1.100000	-0.04
409	284.244384	-42.099528	1.100000	-0.46
410	-30.204940	286.204179	1.100000	-0.05
411	-81.622481	-291.830059	1.100000	-1.47
412	-144.058422	-218.755380	1.100000	1.51
413	171.546766	-220.614639	1.100000	0.15
414	-280.403695	71.120377	1.100000	-0.44
415	86.992556	-278.785115	1.100000	-0.70
416	-13.184543	-177.400923	1.100000	8.85
417	136.847943	-43.963506	1.100000	12.36
418	-41.451295	77.376223	1.100000	19.85
419	-200.248138	-173.283851	1.100000	1.54
420	234.573370	93.197313	1.100000	2.52
421	-109.893203	-104.970957	1.100000	11.46
422	-70.387722	-12.685008	1.100000	22.69
423	91.040666	-70.553533	1.100000	15.83
424	-30.149209	219.074544	1.100000	5.01
425	-109.967001	-241.525676	1.100000	1.25
426	196.055699	-120.426800	1.100000	4.31
427	80.584726	132.032204	1.100000	11.16
428	-122.099496	-65.063310	1.100000	12.98
429	259.666346	153.516780	1.100000	-0.94
430	-227.336436	145.407625	1.100000	1.28
431	192.054320	68.591020	1.100000	6.46
432	-234.069415	191.615478	1.100000	-1.17
433	19.333382	-37.554926	1.100000	29.08
434	-6.387366	158.371983	1.100000	10.78
435	36.786099	67.006894	1.100000	21.79
436	288.097111	-31.943226	1.100000	-0.71
437	-249.180535	39.460141	1.100000	2.35
438	99.640168	112.663263	1.100000	11.63
439	-32.963041	-296.007025	1.100000	-0.76
440	183.548689	41.542926	1.100000	7.86
441	259.119915	115.729872	1.100000	0.24
442	202.062248	145.299659	1.100000	2.82
443	-127.714559	206.680241	1.100000	3.06
444	-115.323944	93.586041	1.100000	11.84
445	-26.076361	-144.937012	1.100000	11.97
446	152.577388	33.741920	1.100000	11.00
447	178.417088	-54.027828	1.100000	8.03
448	175.545150	186.858085	1.100000	2.08
449	24.436080	40.815681	1.100000	27.78
450	-216.916562	-14.011699	1.100000	5.23
451	99.184660	177.662564	1.100000	6.44
452	-286.380871	-89.275641	1.100000	-1.12
453	-109.188943	-77.761351	1.100000	13.48
454	162.748286	74.878217	1.100000	8.73
455	-84.619944	-74.607055	1.100000	16.15
456	129.234668	65.474713	1.100000	12.24
457	217.425541	156.767006	1.100000	1.38
458	238.189891	10.538044	1.100000	3.44
459	-46.969937	154.564554	1.100000	10.45
460	10.286776	170.046083	1.100000	9.58
461	-87.355017	121.122130	1.100000	11.74
462	184.211988	136.095460	1.100000	4.38
463	114.861643	-240.628214	1.100000	1.14
464	33.986289	-148.379147	1.100000	11.43
465	43.420834	49.581033	1.100000	23.78
466	187.777176	-205.004831	1.100000	0.38
467	120.021641	104.292066	1.100000	10.72
468	-286.469659	13.624143	1.100000	-0.52
469	-104.364487	125.697731	1.100000	10.26
470	-237.725814	72.466902	1.100000	2.76
471	-43.610364	-229.206664	1.100000	4.00
472	-18.436346	276.179290	1.100000	0.77
473	-194.218821	-55.381152	1.100000	6.62
474	22.515378	-28.280461	1.100000	30.63
475	234.016653	51.446548	1.100000	3.42
476	-76.452997	-2.861874	1.100000	21.78
477	-201.388088	128.532433	1.100000	3.61
478	-211.050079	217.612634	1.100000	-1.49
479	-172.013583	212.650480	1.100000	0.65
480	-42.741739	-178.489195	1.100000	8.30
481	94.397461	100.940198	1.100000	12.99
482	-119.903862	195.194922	1.100000	4.22
483	23.680079	-264.894412	1.100000	1.54
484	-197.111325	125.330418	1.100000	4.03
485	-98.209320	-110.942819	1.100000	11.87
486	286.109084	-19.427204	1.100000	-0.50
487	74.825896	-0.063729	1.100000	22.08
488	-280.509272	97.650254	1.100000	-0.84
489	165.262663	-182.217524	1.100000	2.90
490	166.839830	87.607387	1.100000	7.87
491	-10.625658	159.609368	1.100000	10.63
492	93.930253	6.119435	1.100000	18.84
493	-33.668330	-128.185091	1.100000	13.65
494	-277.228938	-33.506201	1.100000	0.15
495	-119.378040	28.441285	1.100000	14.86
496	11.319768	225.271897	1.100000	4.67
497	-101.931212	-224.824674	1.100000	2.76
498	277.371812	164.305161	1.100000	-2.30
499	-7.462532	-175.816592	1.100000	9.04
500	190.395151	-52.207178	1.100000	7.02
501	168.297590	-212.436336	1.100000	0.84
502	30.493955	-166.490533	1.100000	9.68
503	-246.592418	160.766454	1.100000	-0.46
504	-160.050619	165.510568	1.100000	4.20
505	118.956881	86.782708	1.100000	11.98
506	-266.788527	182.398282	1.100000	-2.41
507	140.758609	77.344382	1.100000	10.56
508	4.975426	-170.250343	1.100000	9.59
509	-127.093440	-153.666341	1.100000	6.82
510	156.916386	208.203670	1.100000	1.64
