TAG,SINR,DISTANCE,RXNODE,TXNODE
1,5.06,222.72,152,0
0,-2.44,323.62,169,0
0,-0.55,297.13,237,0
2,14.20,131.28,285,0
1,4.23,231.07,357,0
2,11.84,151.30,403,0
2,7.86,190.40,440,0
2,6.62,204.02,473,0
0,-1.49,304.52,478,0
0,-1.79,304.05,273,0
0,-0.04,286.95,408,0
0,-2.12,317.78,94,0
2,11.82,151.41,126,0
2,16.74,112.27,230,0
2,18.71,99.27,355,0
0,-0.10,284.93,394,0
2,8.85,180.22,416,0
2,21.78,81.78,476,0
2,8.03,188.36,75,0
2,13.69,135.36,173,0
2,6.46,206.31,177,0
2,7.10,198.42,270,0
2,12.36,146.61,417,0
1,1.25,266.95,425,0
0,-3.31,339.53,536,0
1,3.86,235.70,544,0
2,11.98,150.05,78,0
1,1.82,261.96,271,0
2,12.36,146.60,302,0
2,6.46,206.05,82,0
1,1.84,263.82,125,0
1,1.13,268.43,517,0
2,6.38,206.51,346,0
1,2.72,248.81,387,0
2,7.21,197.84,396,0
2,14.58,128.19,138,0
2,34.41,36.21,104,0
0,-1.69,305.14,114,0
0,0.45,276.68,212,0
2,13.46,137.30,123,0
1,5.80,212.90,535,0
0,0.19,279.48,555,0
2,30.96,45.31,217,0
2,11.75,152.13,329,0
0,-0.71,291.30,436,0
2,7.87,190.65,490,0
2,8.67,181.73,263,0
1,4.40,230.47,264,0
2,11.16,157.36,427,0
2,12.77,143.05,131,0
2,10.96,159.23,245,0
0,-2.30,323.68,498,0
0,0.41,278.93,531,0
2,6.48,205.16,162,0
1,1.74,261.00,275,0
2,10.78,161.11,434,0
0,-1.67,311.94,525,0
1,2.86,248.86,216,0
2,14.22,131.08,282,0
0,-2.88,332.09,322,0
0,0.84,272.56,501,0
2,9.68,171.71,502,0
0,0.55,280.54,101,0
0,-0.33,290.17,265,0
0,-0.05,289.24,410,0
2,18.84,98.47,492,0
2,11.38,155.38,186,0
2,11.25,156.68,238,0
1,1.94,261.63,244,0
1,1.15,271.32,261,0
1,4.22,230.90,482,0
2,23.33,74.08,524,0
0,0.55,278.06,318,0
2,14.22,131.11,170,0
2,12.24,147.73,456,0
1,2.26,255.04,321,0
1,4.31,231.90,426,0
1,2.94,248.61,198,0
0,-0.61,293.90,330,0
2,10.91,159.69,335,0
2,7.47,194.92,348,0
0,-1.68,303.15,559,0
0,0.49,279.70,324,0
0,0.15,282.70,338,0
0,-1.88,317.16,369,0
2,9.73,171.00,377,0
0,-1.60,301.46,541,0
0,-0.96,299.26,70,0
2,8.52,183.53,97,0
2,6.73,202.28,141,0
2,16.84,111.56,206,0
2,7.72,192.15,268,0
0,-1.56,312.21,326,0
2,6.44,205.52,451,0
2,20.07,91.13,254,0
2,11.00,158.91,446,0
2,16.15,116.46,455,0
0,-1.12,301.36,452,0
0,0.72,278.60,540,0
1,3.33,242.15,554,0
0,0.81,277.65,79,0
1,5.48,216.95,134,0
0,-0.36,287.66,159,0
2,7.80,190.92,197,0
1,2.40,253.62,371,0
1,3.06,246.63,201,0
2,8.97,178.63,233,0
1,4.02,233.38,66,0
2,6.16,209.47,102,0
0,0.94,270.35,109,0
2,18.78,98.82,250,0
2,20.59,88.20,218,0
2,7.07,198.68,317,0
0,-0.25,293.07,320,0
0,-0.46,288.79,409,0
2,11.84,151.30,444,0
0,0.15,280.74,494,0
0,-1.94,308.40,276,0
2,10.22,166.45,298,0
0,-0.68,290.06,299,0
0,-0.69,296.91,301,0
0,-2.41,324.47,506,0
2,21.55,82.95,160,0
2,8.82,180.13,187,0
