%!I(MISSING)D	X	Y	Z	SNR
266	63.764895	24.284046	1.100000	20.45
267	129.326392	156.956347	1.100000	0.10
268	-133.159185	-173.375984	1.100000	17.04
269	247.181322	132.422042	1.100000	4.11
270	-260.584024	63.735352	1.100000	3.59
271	-292.425070	-157.060103	1.100000	-2.08
272	-70.034488	157.072884	1.100000	21.98
273	-157.310950	-215.214649	1.100000	13.12
274	170.616458	133.040135	1.100000	6.00
275	-12.614034	-185.341991	1.100000	15.51
276	206.591304	29.940156	1.100000	17.93
277	-8.549143	282.865256	1.100000	3.81
278	-142.510232	164.224238	1.100000	16.58
279	-157.548963	-228.563493	1.100000	12.46
280	106.632917	-241.991412	1.100000	6.58
281	-22.550052	-7.979300	1.100000	-3.64
282	31.742671	-70.916187	1.100000	5.73
283	92.697864	-181.594151	1.100000	0.54
284	137.616777	228.632563	1.100000	7.81
285	175.507216	-22.530874	1.100000	21.33
286	-78.017952	-297.062515	1.100000	7.08
287	3.787702	-301.010028	1.100000	0.69
288	-250.628945	174.615837	1.100000	3.21
289	203.586931	-92.414988	1.100000	11.79
290	-153.756013	75.442540	1.100000	14.10
291	141.979129	224.132233	1.100000	7.54
292	25.927725	266.928803	1.100000	1.14
293	18.782900	-238.153149	1.100000	5.11
294	-5.129808	-193.691308	1.100000	13.55
295	-51.612067	213.233902	1.100000	15.05
296	-113.247826	-12.777898	1.100000	10.97
297	59.093985	251.944803	1.100000	0.82
298	-19.115822	-325.555029	1.100000	0.44
299	297.553070	73.061226	1.100000	7.71
300	-27.527892	12.987806	1.100000	-3.18
301	157.008305	-222.627403	1.100000	7.62
302	-45.385111	136.342610	1.100000	24.44
303	88.877311	-243.858210	1.100000	4.60
304	-104.177952	-162.131830	1.100000	20.00
305	-183.923698	-12.074374	1.100000	-0.48
306	19.613791	-134.222210	1.100000	16.58
307	-86.421110	201.691665	1.100000	17.06
308	107.265356	178.507351	1.100000	1.42
309	113.947437	-88.475572	1.100000	15.76
310	27.228058	-224.826662	1.100000	5.28
311	37.799087	-108.462665	1.100000	11.04
312	-25.507069	329.363929	1.100000	0.50
313	226.826890	99.397811	1.100000	9.57
314	-269.207472	56.187413	1.100000	5.30
315	-280.103955	-187.009783	1.100000	-0.47
316	-18.390395	114.618642	1.100000	25.28
317	-236.049926	-209.850542	1.100000	5.01
318	-224.358851	152.585366	1.100000	6.22
319	68.309622	-279.728462	1.100000	3.88
320	-58.408864	1.467187	1.100000	-3.52
321	56.096230	-20.148744	1.100000	14.72
322	-165.295929	-201.360130	1.100000	13.04
323	97.472657	43.404420	1.100000	25.04
324	-257.016655	20.396180	1.100000	6.85
325	240.188177	-169.484655	1.100000	-1.16
326	237.129312	94.188907	1.100000	9.67
327	-256.391174	185.528721	1.100000	2.58
328	-59.413048	49.375865	1.100000	23.98
329	115.609759	-183.285229	1.100000	2.34
330	181.206724	-113.889880	1.100000	9.36
331	-187.499314	118.000227	1.100000	10.53
332	-103.776843	147.084675	1.100000	21.17
333	-192.627159	149.141731	1.100000	10.57
334	-218.686840	201.440866	1.100000	7.32
335	6.515440	29.561355	1.100000	-3.11
336	44.354468	-74.441628	1.100000	0.24
337	204.199826	70.968310	1.100000	14.54
338	270.272261	148.226967	1.100000	1.11
339	-262.055601	86.661401	1.100000	1.63
340	50.552377	-156.726078	1.100000	7.16
341	-225.752987	13.848490	1.100000	4.02
342	-179.410807	-49.786473	1.100000	6.50
343	37.607799	161.194185	1.100000	10.03
344	-61.370638	-102.779702	1.100000	27.74
345	-245.219541	-202.386173	1.100000	3.96
346	-80.460210	4.629151	1.100000	8.58
347	5.911213	-309.845932	1.100000	-0.37
348	257.801688	-155.622197	1.100000	0.45
349	255.008940	-170.786087	1.100000	-1.37
350	-178.781166	237.719830	1.100000	10.47
351	143.552720	69.848433	1.100000	18.85
352	-10.929694	-303.397473	1.100000	1.98
353	24.960480	101.137446	1.100000	15.92
354	-186.191167	-189.426084	1.100000	11.26
355	146.128162	68.217068	1.100000	18.97
356	117.923774	166.335870	1.100000	-0.16
357	-290.496763	98.617273	1.100000	3.68
358	-25.806701	-307.854483	1.100000	2.83
359	-87.987694	-158.659809	1.100000	21.23
360	224.323241	98.613278	1.100000	9.81
361	-196.990314	226.955958	1.100000	9.17
362	-95.516413	109.425757	1.100000	24.34
363	119.394425	-35.649382	1.100000	25.55
364	-283.620100	-176.061992	1.100000	-1.05
365	222.551897	19.831315	1.100000	16.96
366	-282.875981	-161.501479	1.100000	-1.38
367	73.082474	-24.971477	1.100000	24.31
368	218.111524	-184.869854	1.100000	1.58
369	-181.527539	139.301171	1.100000	11.99
370	92.250948	-270.676824	1.100000	6.51
371	-0.915499	62.735636	1.100000	14.64
372	-152.538824	-107.016378	1.100000	15.88
373	-193.582135	204.515855	1.100000	10.16
374	-22.930150	-58.663141	1.100000	19.29
375	-167.966730	-118.477469	1.100000	13.65
376	48.053241	-100.856617	1.100000	4.66
377	-240.927256	186.743931	1.100000	4.59
378	239.458418	210.357209	1.100000	4.36
379	-171.133335	125.498647	1.100000	13.31
380	207.887331	-53.287443	1.100000	16.10
381	47.543834	138.888929	1.100000	8.61
382	133.054896	196.629401	1.100000	4.40
383	48.895698	224.362757	1.100000	1.68
384	-249.772492	-150.581459	1.100000	2.61
385	105.414048	6.905643	1.100000	28.56
386	235.336693	117.712789	1.100000	6.66
387	-194.341025	19.225744	1.100000	-0.92
388	-106.916193	163.233139	1.100000	19.73
389	-148.918288	-134.398618	1.100000	16.58
390	-95.317338	245.561686	1.100000	12.92
391	-95.737601	-224.181969	1.100000	14.89
392	-133.328839	113.690355	1.100000	19.00
393	38.780842	-112.777617	1.100000	11.00
394	-23.797043	-173.742582	1.100000	18.17
395	-272.722205	96.792521	1.100000	1.97
396	37.034603	292.056849	1.100000	0.21
397	73.075279	142.190871	1.100000	0.17
398	-79.365597	110.272709	1.100000	25.98
399	133.360288	69.272084	1.100000	19.48
400	102.467380	-160.001873	1.100000	-1.31
401	108.033025	227.935086	1.100000	5.84
402	84.553428	262.787135	1.100000	5.15
403	4.502606	304.682395	1.100000	0.26
404	-38.045210	289.688927	1.100000	5.71
405	-111.881192	33.598487	1.100000	16.51
406	-12.000284	57.899133	1.100000	14.60
407	83.335838	-22.767768	1.100000	26.72
408	57.463416	-252.881006	1.100000	0.64
409	-73.085695	-111.619622	1.100000	26.39
410	9.886581	-137.819308	1.100000	18.29
411	29.974518	55.555900	1.100000	-1.82
412	274.439407	-74.752669	1.100000	9.33
413	269.329599	-71.880162	1.100000	9.95
414	-108.323358	-139.016368	1.100000	21.30
415	282.365534	-3.882942	1.100000	12.68
416	-19.077076	305.437319	1.100000	2.52
417	-32.994104	79.265892	1.100000	27.71
418	-268.986048	165.778625	1.100000	0.58
419	-111.705364	150.847533	1.100000	20.23
420	163.082509	181.854245	1.100000	1.96
421	-44.135173	-245.856621	1.100000	10.91
422	99.190086	-151.243510	1.100000	-1.54
423	-132.680283	-16.003665	1.100000	8.99
424	-209.118883	-186.725693	1.100000	8.61
425	-110.675566	23.863620	1.100000	14.40
426	-197.680292	-77.665466	1.100000	6.20
427	40.052207	-69.949278	1.100000	-0.64
428	-235.537500	-3.779268	1.100000	5.93
429	-236.681747	93.642772	1.100000	0.94
430	-99.708118	-226.532884	1.100000	14.67
431	-6.818052	144.960916	1.100000	20.17
432	-196.691887	-125.849098	1.100000	9.39
433	-140.764910	138.439403	1.100000	17.59
434	26.393220	-99.962009	1.100000	15.25
435	-18.702940	-212.387362	1.100000	12.71
436	180.394185	47.086759	1.100000	19.02
437	-19.416914	3.124328	1.100000	-3.98
438	7.114847	197.163341	1.100000	11.50
439	185.828931	91.953125	1.100000	12.83
440	30.108668	289.538529	1.100000	-0.87
441	1.376121	37.798436	1.100000	-2.73
442	168.456856	104.957007	1.100000	11.41
443	68.087270	283.494636	1.100000	4.04
444	154.686123	96.674313	1.100000	13.45
445	172.689902	219.114536	1.100000	7.20
446	-32.238021	11.950554	1.100000	-2.83
447	-202.374611	184.859024	1.100000	9.44
448	88.173699	296.993138	1.100000	7.13
449	172.277845	-84.822711	1.100000	14.70
450	85.306919	112.461475	1.100000	5.89
451	-135.237359	-181.550994	1.100000	16.44
452	94.130053	215.699781	1.100000	3.43
453	-110.577156	-125.539839	1.100000	21.79
454	-113.641991	-235.095338	1.100000	13.79
455	61.644115	11.364708	1.100000	18.88
456	157.906421	136.426809	1.100000	5.38
457	-229.888559	58.260031	1.100000	-0.13
458	287.470747	138.432217	1.100000	1.58
459	118.689851	159.024544	1.100000	-1.11
460	-101.966470	-184.811325	1.100000	18.26
461	244.179849	-85.617418	1.100000	10.25
462	-222.406410	166.428323	1.100000	6.80
463	61.571444	71.306195	1.100000	11.57
464	-34.213762	114.392951	1.100000	26.63
465	32.786511	51.484735	1.100000	-2.13
466	-172.275380	67.431089	1.100000	9.89
467	-114.106382	96.978912	1.100000	22.03
468	-34.661056	-126.954795	1.100000	25.21
469	273.904114	120.037322	1.100000	4.52
470	63.461611	-186.608640	1.100000	2.12
471	-67.649245	107.951441	1.100000	27.02
472	-167.297820	-160.854812	1.100000	13.87
473	-131.137138	146.363645	1.100000	18.50
474	-93.633745	273.765588	1.100000	10.14
475	174.009867	162.235580	1.100000	0.15
476	285.215107	-29.078230	1.100000	11.70
477	-194.621658	128.189707	1.100000	9.79
478	37.437049	-143.871963	1.100000	11.37
479	-17.831312	77.774659	1.100000	25.29
480	-121.748042	239.940170	1.100000	13.27
481	-154.286877	-18.526563	1.100000	5.89
482	-219.354371	38.788535	1.100000	0.41
483	285.193939	-112.925433	1.100000	4.67
484	-182.821494	98.086427	1.100000	10.35
485	-93.963959	-5.989745	1.100000	10.10
486	-239.105180	201.307092	1.100000	4.76
487	-265.747853	-4.966722	1.100000	8.49
488	-25.417645	-196.648956	1.100000	15.31
489	69.072803	-8.762596	1.100000	23.36
490	85.424016	-246.200981	1.100000	4.28
491	-192.723594	76.709977	1.100000	7.00
492	6.428432	-102.685631	1.100000	21.72
493	-4.638256	93.695056	1.100000	24.20
494	-111.411434	280.035846	1.100000	9.82
495	24.294785	-190.734182	1.100000	9.56
496	-0.128084	-325.091603	1.100000	-1.16
497	-52.894661	-135.125733	1.100000	24.70
498	-122.908863	-193.337522	1.100000	16.58
499	224.309495	123.724487	1.100000	6.22
500	-180.011963	98.270004	1.100000	10.85
501	256.755946	114.357445	1.100000	6.12
502	87.298052	-14.631478	1.100000	27.79
503	-42.871100	0.991472	1.100000	-2.11
504	-177.620326	-61.324840	1.100000	8.23
505	-14.101820	-230.573934	1.100000	10.07
506	-246.053247	-32.918715	1.100000	4.65
507	30.359495	265.795766	1.100000	0.61
508	-232.392646	-40.176112	1.100000	2.16
509	-9.487243	178.534442	1.100000	16.04
510	293.224012	52.637323	1.100000	9.70
511	183.863878	-22.141940	1.100000	20.50
512	140.654613	242.097923	1.100000	8.97
513	-18.568849	-252.021449	1.100000	8.09
514	52.156645	138.173994	1.100000	7.12
515	-223.623553	-154.566649	1.100000	6.38
516	13.086422	308.409376	1.100000	-1.06
517	13.161125	203.181053	1.100000	9.89
518	-59.687599	85.745880	1.100000	28.52
519	-223.391330	-159.137122	1.100000	6.53
520	-147.204972	-213.325269	1.100000	13.91
521	8.869235	-110.965810	1.100000	20.84
522	288.815426	125.329331	1.100000	3.04
523	206.657358	-138.012819	1.100000	4.43
524	121.648726	-183.594639	1.100000	2.52
525	56.873664	-65.231365	1.100000	11.59
526	-183.422677	187.229763	1.100000	11.60
527	209.213600	-111.124940	1.100000	8.74
528	156.648533	-175.284617	1.100000	0.91
529	-234.555878	-195.050289	1.100000	5.39
530	-292.471075	104.549797	1.100000	3.29
531	-299.729667	-81.630003	1.100000	6.16
532	18.298501	245.678403	1.100000	4.37
533	-238.578157	207.727495	1.100000	4.73
534	-277.585329	81.346833	1.100000	3.97
535	-114.756194	-266.008671	1.100000	11.17
536	-139.624316	87.554297	1.100000	17.46
537	247.428304	56.078083	1.100000	12.85
538	24.147195	52.963726	1.100000	-1.87
539	156.820289	-156.429773	1.100000	1.15
540	91.006591	-154.258989	1.100000	-2.62
541	53.147037	183.030382	1.100000	4.69
542	109.310082	207.993122	1.100000	4.50
543	219.063008	-34.573180	1.100000	16.57
544	-189.018159	-25.583546	1.100000	1.10
545	-234.224675	-126.043347	1.100000	3.65
546	115.426874	-19.336823	1.100000	27.40
547	-177.501006	47.686200	1.100000	6.57
548	68.229599	-3.986411	1.100000	22.97
549	107.663510	-93.063798	1.100000	14.41
550	95.082807	-71.262386	1.100000	19.14
551	100.557277	265.903965	1.100000	7.23
552	93.306737	-275.140655	1.100000	6.85
553	-131.809464	-22.743814	1.100000	10.73
554	-155.442818	-90.225411	1.100000	14.75
555	-18.789726	-142.114079	1.100000	21.98
556	118.732458	227.602671	1.100000	6.72
557	63.459690	-263.595498	1.100000	2.27
558	155.282180	58.655519	1.100000	19.78
559	236.902980	-17.168292	1.100000	15.84
560	0.804348	-50.651609	1.100000	0.51
561	168.362984	-119.907610	1.100000	8.60
562	-50.984446	127.424215	1.100000	25.60
563	549.789908	229.324895	1.100000	13.57
564	878.596145	23.851404	1.100000	13.49
565	730.333549	258.459115	1.100000	9.37
566	440.478677	31.986601	1.100000	6.41
567	767.319607	-135.314367	1.100000	5.74
568	534.918275	28.171076	1.100000	17.72
569	596.376378	121.924667	1.100000	23.53
570	545.481472	97.842378	1.100000	28.18
571	769.292121	1.510836	1.100000	23.57
572	613.058643	164.055089	1.100000	15.79
573	568.227590	194.844075	1.100000	16.61
574	721.782157	144.524502	1.100000	2.16
575	642.949658	-180.746430	1.100000	8.44
576	819.052904	195.185109	1.100000	3.42
577	591.474451	-265.927817	1.100000	6.29
578	731.244802	48.753363	1.100000	23.61
579	654.524823	220.214857	1.100000	2.27
580	678.683054	-200.652483	1.100000	-0.80
581	395.743429	138.136205	1.100000	7.77
582	704.439084	214.405811	1.100000	4.03
583	585.258480	-53.685050	1.100000	14.75
584	649.281190	-265.356548	1.100000	-0.54
585	754.003689	78.990033	1.100000	17.22
586	497.074071	248.838217	1.100000	12.78
587	666.778804	290.851929	1.100000	3.49
588	561.898247	258.155667	1.100000	9.67
589	594.491277	203.653098	1.100000	13.16
590	482.368978	-21.647324	1.100000	11.87
591	662.391906	207.878399	1.100000	1.96
592	871.356602	63.083356	1.100000	11.47
593	535.528799	-197.751664	1.100000	17.53
594	775.561467	144.919598	1.100000	3.76
595	533.686821	-86.602986	1.100000	27.72
596	547.154951	-118.029560	1.100000	26.63
597	508.527196	147.025967	1.100000	21.75
598	579.542374	-47.153380	1.100000	11.18
599	728.513538	-31.105134	1.100000	26.09
600	611.956350	249.972945	1.100000	5.67
601	574.893582	-72.530340	1.100000	26.69
602	505.261974	243.232311	1.100000	13.27
603	496.169347	-56.517392	1.100000	20.67
604	648.278575	120.514431	1.100000	10.25
605	676.487007	-132.445199	1.100000	0.23
606	424.718689	244.881605	1.100000	9.99
607	556.650704	-238.026023	1.100000	12.23
608	457.982139	246.361149	1.100000	12.06
609	703.173618	147.780158	1.100000	-0.99
610	371.874493	44.999045	1.100000	1.94
611	328.992024	-76.264608	1.100000	4.41
612	582.222630	232.726561	1.100000	10.89
613	682.782334	-114.862295	1.100000	2.70
614	642.075798	-24.536680	1.100000	-2.19
615	603.769113	-0.126884	1.100000	-5.32
616	617.873477	-254.452469	1.100000	4.43
617	632.631031	-57.508497	1.100000	1.60
618	750.994265	-124.725489	1.100000	7.98
619	682.013736	297.569087	1.100000	5.80
620	798.782634	-238.014775	1.100000	9.46
621	820.678943	155.079242	1.100000	1.47
622	772.462976	227.589228	1.100000	8.51
623	752.159529	-130.294153	1.100000	6.77
624	681.809398	-198.528677	1.100000	-0.59
625	523.385641	52.006344	1.100000	24.15
626	451.631395	-238.162468	1.100000	12.21
627	829.382772	-0.145444	1.100000	17.73
628	528.048123	-271.043320	1.100000	10.06
629	650.047849	-303.425402	1.100000	1.73
630	708.466121	-30.132194	1.100000	27.14
631	779.443883	72.932947	1.100000	16.70
632	813.638933	-200.689740	1.100000	4.36
633	730.159578	5.390323	1.100000	27.59
634	606.014676	-330.953090	1.100000	-1.63
635	701.202255	261.673150	1.100000	6.60
636	873.746794	-84.599099	1.100000	9.25
637	502.274607	239.389944	1.100000	13.62
638	699.148739	-139.685228	1.100000	0.28
639	610.624308	-136.955035	1.100000	19.53
640	802.289757	-86.161344	1.100000	13.35
641	468.146003	106.822977	1.100000	18.30
642	692.930767	-266.696032	1.100000	5.82
643	601.686774	13.463959	1.100000	-4.58
644	548.759052	-4.052784	1.100000	-2.79
645	565.265308	207.128967	1.100000	15.28
646	860.229029	-179.851458	1.100000	0.03
647	772.284797	81.823251	1.100000	15.76
648	666.904103	-126.172067	1.100000	3.23
649	519.855785	-108.597507	1.100000	25.50
650	401.411483	-142.625542	1.100000	8.74
651	814.160161	3.525981	1.100000	19.04
652	758.518720	8.237904	1.100000	24.64
653	342.216481	99.799859	1.100000	0.65
654	510.717570	291.368439	1.100000	8.39
655	604.550598	-49.876469	1.100000	0.35
656	516.425082	-197.979392	1.100000	17.49
657	689.117273	227.143689	1.100000	2.79
658	716.821079	-145.055774	1.100000	1.56
659	689.495721	-141.644101	1.100000	-2.45
660	838.590562	28.912730	1.100000	16.21
661	627.554862	-283.271693	1.100000	0.27
662	511.533640	189.313707	1.100000	18.21
663	657.793147	-134.359811	1.100000	7.32
664	436.745590	-135.063424	1.100000	13.72
