TAG,SINR,DISTANCE,RXNODE,TXNODE
2,11.59,298.44,4707,9
2,20.68,166.49,5504,48
2,28.50,136.17,6597,51
0,-1.28,607.74,7328,34
2,34.23,96.96,5848,30
1,5.09,288.57,6406,50
2,21.82,169.00,6451,12
2,8.48,190.60,3525,44
0,-0.74,212.93,5856,11
2,19.60,220.90,6517,31
2,9.38,223.93,4558,27
2,9.35,256.87,5132,48
1,3.43,374.40,452,40
2,11.20,182.05,1722,41
2,26.15,138.38,4137,27
0,-4.00,287.23,8254,54
2,13.78,224.88,746,1
2,11.01,276.10,5496,29
2,6.04,336.07,6907,33
0,-0.13,258.71,7541,14
0,0.36,243.82,9541,56
1,5.28,185.03,1277,21
2,10.66,315.59,2302,13
0,-1.41,57.00,2921,43
2,21.67,174.75,1846,22
2,11.62,239.60,3952,26
2,16.56,151.38,5871,11
0,0.53,287.12,6793,13
1,1.24,57.52,8451,16
2,7.77,182.22,1213,21
2,8.88,328.95,1368,20
1,5.57,322.16,1756,12
2,17.12,273.40,4781,9
2,13.65,182.48,5279,10
2,8.37,321.07,5340,21
1,4.33,62.16,5563,11
0,0.11,260.64,6984,51
2,12.17,288.13,1294,21
0,-3.60,590.11,2187,24
2,18.52,116.77,2641,43
0,-0.21,390.80,1023,37
0,0.38,362.48,1939,19
1,3.48,263.74,8520,35
2,23.72,178.97,6307,50
2,18.94,135.63,7370,14
2,25.11,176.62,7835,15
0,-0.65,205.72,8171,35
2,17.56,193.72,9422,18
2,13.91,260.79,520,38
2,12.91,246.21,5325,29
2,7.69,178.46,5744,30
1,4.86,258.64,8003,53
2,14.78,293.77,8204,54
2,14.63,285.28,6042,11
2,10.50,305.21,6990,13
2,16.96,171.08,96,19
1,5.47,356.46,3274,5
2,16.16,226.28,5382,29
2,25.16,162.29,7077,52
1,3.94,331.11,8104,15
2,11.00,122.71,393,38
0,-2.84,578.60,717,0
2,8.81,308.06,3633,45
2,28.29,144.76,4884,9
2,6.99,302.88,6237,50
1,5.75,296.70,157,19
2,17.69,187.47,681,1
1,5.62,306.40,2068,42
2,6.47,230.95,7713,53
1,4.56,333.60,1226,47
2,9.47,301.79,4966,28
0,0.78,323.90,5440,10
2,15.88,159.79,7579,34
2,10.98,167.78,2961,5
2,16.68,139.02,3008,43
2,15.88,191.05,5074,29
2,7.47,317.20,3719,1
1,1.73,313.49,5565,11
2,27.43,113.70,226,19
2,12.21,285.40,626,39
1,5.07,354.21,1081,3
2,18.71,247.70,7519,52
1,1.57,305.64,8622,55
2,13.27,304.80,9415,18
2,14.65,101.34,140,38
2,16.77,271.20,4373,8
2,10.78,239.86,5975,49
2,8.15,334.96,2625,35
2,18.56,214.37,4859,9
2,13.68,128.43,5913,11
2,19.66,200.97,3039,43
2,19.58,276.87,7897,53
2,14.66,269.10,7585,34
1,5.24,326.07,2002,19
2,27.37,153.15,4511,8
1,4.31,315.41,5130,48
2,16.43,276.15,5958,30
2,22.90,85.26,6275,50
1,3.87,258.40,7522,52
2,18.87,215.48,8684,55
2,19.64,139.23,2913,24
0,-0.61,367.75,3126,5
2,20.83,179.49,5818,30
2,18.28,127.22,7167,33
1,2.59,562.24,7880,43
1,5.25,57.64,9527,56
2,24.52,153.26,781,39
2,12.95,237.47,2774,24
0,-2.18,344.70,2873,5
2,24.82,128.13,6747,32
2,11.51,326.84,6901,32
2,21.77,198.92,7217,33
